"","Model","C","K","LL","AIC","BIC"
"M1","EMI_BWprioritiesDCEpriorities_FIXED","1","19","15999.408215783","-31960.816431566","-62208.2968019153"
"M2","EMI_BWprioritiesDCEpriorities_ONEFAC","1","19","15212.9742576742","-30387.9485153484","-30209.4803703493"
