"","Model","C","K","LL","AIC","BIC"
"M1","EMI_DCEpriorities_FIXED","1","9","3913.52168105945","-7809.0433621189","-15204.3704016963"
"M2","EMI_DCEpriorities_ONEFAC","1","9","3731.86937336119","-7445.73874672238","-7377.32703957745"
