"","parameters","estimate","standarderrors","t","CI.lower","CI.upper","LL","nrc","resample_size","datestart","datefinish"
"1","epsilon_[1,1]",1.04805863958333,0.0676679439890303,15.4882589569033,0.912722751605268,1.18339452756139,"3731.86937336119","11","100","Mon Jan  9 14:46:40 2023","Mon Jan  9 14:47:04 2023"
"2","epsilon_[2,1]",0.869539984569647,0.0602910893776714,14.4223631310215,0.748957805814305,0.99012216332499,"","","","",""
"3","epsilon_[3,1]",0.241871905726266,0.0567426510490184,4.26261200798178,0.128386603628229,0.355357207824303,"","","","",""
"4","epsilon_[4,1]",0.0594752347745313,0.0524278465083151,1.13442070837486,-0.0453804582420989,0.164330927791162,"","","","",""
"5","epsilon_[5,1]",0.296088232983644,0.0554930562915815,5.33559066251252,0.185102120400481,0.407074345566807,"","","","",""
"6","epsilon_[6,1]",0.15158454623283,0.0578423457909492,2.62065004729717,0.0358998546509319,0.267269237814729,"","","","",""
"7","epsilon_[7,1]",0.126404922990221,0.0547379787691122,2.30927275417685,0.0169289654519971,0.235880880528446,"","","","",""
"8","epsilon_[8,1]",-0.145165926180888,0.0539358797318344,-2.69145375773313,-0.253037685644557,-0.0372941667172192,"","","","",""
"9","epsilon_[9,1]",-0.951262940129984,0.0614972315189912,-15.4683864075446,-1.07425740316797,-0.828268477092002,"","","","",""
"10","gamma_[1,1]",3.02184109469585,0.227680237847922,13.272302959883,2.566480619,3.47720157039169,"","","","",""
"11","gamma_[2,1]",0.235300943365876,0.156656086530124,1.50202235085599,-0.0780112296943727,0.548613116426125,"","","","",""
"12","gamma_[3,1]",0.345101010457884,0.130998195881816,2.63439513906914,0.0831046186942512,0.607097402221517,"","","","",""
"13","gamma_[4,1]",-0.0887437745079403,0.11411262962458,-0.777685824959948,-0.3169690337571,0.139481484741219,"","","","",""
"14","gamma_[5,1]",0.186942513407382,0.161194306709057,1.15973397090754,-0.135446100010732,0.509331126825496,"","","","",""
"15","gamma_[6,1]",0.0374059239570991,0.135269951617715,0.276527961382078,-0.233133979278331,0.30794582719253,"","","","",""
"16","gamma_[7,1]",-0.100135678724666,0.127913720971508,-0.782837665608762,-0.355963120667682,0.15569176321835,"","","","",""
"17","gamma_[8,1]",0.334433881884391,0.148550524955789,2.25131403597479,0.0373328319728127,0.631534931795969,"","","","",""
"18","gamma_[9,1]",0.493906992447063,0.137069439412531,3.60333415357872,0.219768113622,0.768045871272126,"","","","",""
