"","parameters","estimate","standarderrors","t","CI.lower","CI.upper","LL","nrc","resample_size","datestart","datefinish"
"1","epsilon_[1,1]",0.87368668306401,36.3799842216292,0.0240155871905126,-71.8862817601945,73.6336551263225,"15212.9742576742","21","100","Mon Jan  9 14:56:56 2023","Mon Jan  9 15:03:15 2023"
"2","epsilon_[2,1]",0.938875961175978,36.3802485276926,0.0258072992673842,-71.8216210942093,73.6993730165613,"","","","",""
"3","epsilon_[3,1]",-0.458696375375168,36.3773186233216,-0.0126094058807593,-73.2133336220184,72.2959408712681,"","","","",""
"4","epsilon_[4,1]",0.090269936938013,36.3790056341082,0.00248137450060971,-72.6677413312783,72.8482812051543,"","","","",""
"5","epsilon_[5,1]",0.653856461132644,36.3799856016788,0.0179729719602328,-72.1061147422249,73.4138276644902,"","","","",""
"6","epsilon_[6,1]",0.300552593021619,36.378689480889,0.00826177625720987,-72.4568263687563,73.0579315547995,"","","","",""
"7","epsilon_[7,1]",-0.585739159758763,36.3769822638723,-0.0161019172923667,-73.3397036875033,72.1682253679858,"","","","",""
"8","epsilon_[8,1]",-0.712956730708727,36.3770182302056,-0.0195990976004934,-73.4669931911199,72.0410797297024,"","","","",""
"9","epsilon_[9,1]",-0.0314341848669924,36.3758289590517,-0.000864150337367647,-72.7830921029705,72.7202237332365,"","","","",""
"10","epsilon_[10,1]",-0.0688553458944554,36.3775904708507,-0.00189279567456864,-72.8240362875958,72.6863255958069,"","","","",""
"11","epsilon_[11,1]",1.7124865360391,0.0758217359773116,22.5856941148318,1.56084306408447,1.86413000799372,"","","","",""
"12","epsilon_[12,1]",0.949395281130856,0.0725136392075936,13.0926442460419,0.804368002715669,1.09442255954604,"","","","",""
"13","epsilon_[13,1]",0.265784724611134,0.0666600583193366,3.98716609784357,0.132464607972461,0.399104841249808,"","","","",""
"14","epsilon_[14,1]",0.103627928413646,0.061615082679626,1.68185976398783,-0.0196022369456056,0.226858093772898,"","","","",""
"15","epsilon_[15,1]",0.341086305901111,0.0665047410688613,5.12875173136813,0.208076823763389,0.474095788038834,"","","","",""
"16","epsilon_[16,1]",0.201201724297933,0.0670278824624042,3.00176160884669,0.0671459593731246,0.335257489222741,"","","","",""
"17","epsilon_[17,1]",0.0832499729743273,0.0641037914713407,1.29867471273593,-0.044957609968354,0.211457555917009,"","","","",""
"18","epsilon_[18,1]",0.0450636604039113,0.0669073757588959,0.673523059196051,-0.0887510911138805,0.178878411921703,"","","","",""
"19","epsilon_[19,1]",-0.380418968006919,0.0610631826986752,-6.22992368223172,-0.502545333404269,-0.258292602609568,"","","","",""
"20","gamma_[1,1]",0.487063074803036,23.2478867116192,0.0209508537633919,-46.0087103484353,46.9828364980414,"","","","",""
"21","gamma_[2,1]",0.606629838954844,23.2486766147892,0.0260930911899282,-45.8907233906235,47.1039830685332,"","","","",""
"22","gamma_[3,1]",-0.440500104895233,23.2452516921153,-0.0189501112196883,-46.9310034891259,46.0500032793354,"","","","",""
"23","gamma_[4,1]",-0.521080041458287,23.2464042069473,-0.0224155115268347,-47.013888455353,45.9717283724364,"","","","",""
"24","gamma_[5,1]",-0.114234649301975,23.2478279523167,-0.00491377730153029,-46.6098905539354,46.3814212553314,"","","","",""
"25","gamma_[6,1]",0.0606697788289791,23.2467503363492,0.00260981762832091,-46.4328308938694,46.5541704515274,"","","","",""
"26","gamma_[7,1]",-0.686005394589662,23.244294297073,-0.0295128510172084,-47.1745939887356,45.8025831995563,"","","","",""
"27","gamma_[8,1]",-1.22536707614937,23.2446947301197,-0.0527159891913566,-47.7147565363887,45.26402238409,"","","","",""
"28","gamma_[9,1]",3.00021518229333,23.2470467733587,0.129057906216784,-43.4938783644242,49.4943087290108,"","","","",""
"29","gamma_[10,1]",-0.167552971990513,23.2441443135987,-0.00720839492863106,-46.6558415991878,46.3207356552068,"","","","",""
"30","gamma_[11,1]",0.24236795978662,0.110957573164251,2.18433003602053,0.0204528134581168,0.464283106115122,"","","","",""
"31","gamma_[12,1]",0.0250516046064248,0.103990581646865,0.240902629927544,-0.182929558687306,0.233032767900155,"","","","",""
"32","gamma_[13,1]",0.115051737254588,0.0925066488371169,1.24371316765747,-0.0699615604196457,0.300065034928822,"","","","",""
"33","gamma_[14,1]",-0.0587389316167415,0.0854820032800422,-0.687149684879408,-0.229702938176826,0.112225074943343,"","","","",""
"34","gamma_[15,1]",0.0624948752207707,0.0922519734692292,0.677436729758589,-0.122009071717688,0.246998822159229,"","","","",""
"35","gamma_[16,1]",0.0904296142664446,0.0938393932136675,0.963663672254797,-0.0972491721608903,0.27810840069378,"","","","",""
"36","gamma_[17,1]",0.0364684218230594,0.0907819051747263,0.401714656162694,-0.145095388526393,0.218032232172512,"","","","",""
"37","gamma_[18,1]",-0.128122104061633,0.0911810945526347,-1.40513891273453,-0.310484293166903,0.0542400850436364,"","","","",""
"38","gamma_[19,1]",-0.793599208936167,0.0861323926688124,-9.21371373006709,-0.965863994273792,-0.621334423598542,"","","","",""
