"","parameters","estimate","standarderrors","t","CI.lower","CI.upper","LL","nrc","resample_size","datestart","datefinish"
"1","epsilon_[1,1]",1.05919955684588,10.4232286368036,0.101619142566433,-19.7872577167614,21.9056568304531,"15999.408215783","21","100","Mon Jan  9 14:55:12 2023","Mon Jan  9 14:56:55 2023"
"2","epsilon_[2,1]",1.18673687407548,10.423330353954,0.113853905975963,-19.6599238338326,22.0333975819835,"","","","",""
"3","epsilon_[3,1]",-0.646910985385581,10.4222410228322,-0.0620702384418455,-21.4913930310501,20.1975710602789,"","","","",""
"4","epsilon_[4,1]",-0.112990962158958,10.4226008326665,-0.0108409564918596,-20.958192627492,20.7322107031741,"","","","",""
"5","epsilon_[5,1]",0.484853066637377,10.422874611123,0.0465181713037165,-20.3608961556086,21.3306022888833,"","","","",""
"6","epsilon_[6,1]",0.257308010603878,10.4227724179227,0.0246870986227637,-20.5882368252414,21.1028528464492,"","","","",""
"7","epsilon_[7,1]",-0.858342407169182,10.4221972499416,-0.0823571447157163,-21.7027369070524,19.986052092714,"","","","",""
"8","epsilon_[8,1]",-1.19104616036752,10.4220270948949,-0.114281621945786,-22.0351003501574,19.6530080294223,"","","","",""
"9","epsilon_[9,1]",0.977505372999337,10.4231909418854,0.0937817774277983,-19.8688765107714,21.8238872567701,"","","","",""
"10","epsilon_[10,1]",-0.156390764851913,10.4225561128256,-0.0150050297795436,-21.0015029905031,20.6887214607993,"","","","",""
"11","epsilon_[11,1]",1.82343380703575,0.0493823012970647,36.924844714439,1.72466920444163,1.92219840962988,"","","","",""
"12","epsilon_[12,1]",0.957240142802347,0.0483747237485742,19.7880229306852,0.860490695305199,1.0539895902995,"","","","",""
"13","epsilon_[13,1]",0.3320023170741,0.0445248900456413,7.45655557450613,0.242952536982817,0.421052097165382,"","","","",""
"14","epsilon_[14,1]",0.06585552012465,0.0417728856355293,1.57651354754955,-0.0176902511464085,0.149401291395708,"","","","",""
"15","epsilon_[15,1]",0.367378974993954,0.0442171657445908,8.30851477718008,0.278944643504772,0.455813306483135,"","","","",""
"16","epsilon_[16,1]",0.253607450739954,0.0449895970514379,5.63702427585643,0.163628256637078,0.34358664484283,"","","","",""
"17","epsilon_[17,1]",0.106800614697007,0.043616806357573,2.44861152422416,0.0195670019818609,0.194034227412153,"","","","",""
"18","epsilon_[18,1]",-0.0278468492804589,0.0442090790416202,-0.629889829965532,-0.116265007363699,0.0605713088027815,"","","","",""
"19","epsilon_[19,1]",-0.799162449812464,0.0412669101952115,-19.3656962935208,-0.881696270202887,-0.716628629422041,"","","","",""
